,rmse,mae,pnsr,ssim,ms_ssim,std,Date,bathy,Tide,Hs_m,Tp_m,Dir_m,rip
31,0.37941515,0.29812133,27.132889,0.80236894,0.91541255,1.0054009e-08,2017-03-27 15:45:00,2017-03-27,4.2325,0.7799999825656414,15.049999663606286,307.5,1
32,0.3861478,0.2905578,26.98011,0.8426502,0.922802,9.959507e-09,2017-03-27 16:00:00,2017-03-27,4.1481,0.7799999825656414,14.699999671429396,307.5,1
33,0.37545586,0.2968715,27.224003,0.84146065,0.9257861,1.0525696e-08,2017-03-27 16:15:00,2017-03-27,4.0644,0.7799999825656414,14.699999671429396,307.5,1
34,0.40907612,0.31847662,26.4791,0.8340487,0.92520726,1.2286591e-08,2017-03-27 16:30:00,2017-03-27,3.9268,0.7799999825656414,14.699999671429396,307.5,1
35,0.42379484,0.33697876,26.172068,0.8155769,0.92105794,1.1781822e-08,2017-03-27 16:45:00,2017-03-27,3.781,0.7799999825656414,14.699999671429396,307.5,1
36,0.42530277,0.3335761,26.141216,0.8091911,0.9188999,1.2615544e-08,2017-03-27 17:00:00,2017-03-27,3.6133,0.7999999821186066,14.569999674335122,307.5,1
37,0.8287204,0.6939403,20.347021,0.6770478,0.8700326,1.5305062e-08,2017-03-27 17:15:00,2017-03-27,3.4289,0.7999999821186066,14.569999674335122,307.5,1
38,0.5909631,0.46992123,23.283974,0.795756,0.9114479,1.6338532e-08,2017-03-27 17:30:00,2017-03-27,3.2201,0.7999999821186066,14.569999674335122,307.5,1
39,0.636659,0.53897333,22.637043,0.7573579,0.8944764,1.462945e-08,2017-03-27 17:45:00,2017-03-27,3.0065,0.7999999821186066,14.569999674335122,307.5,1
40,0.6460329,0.5502442,22.510088,0.7484837,0.89791816,1.65102e-08,2017-03-27 18:00:00,2017-03-27,2.7667,0.8099999818950891,14.47999967634678,307.5,1
41,0.54132336,0.45600545,24.046045,0.78264457,0.9159326,1.540326e-08,2017-03-27 18:15:00,2017-03-27,2.5201,0.8099999818950891,14.47999967634678,307.5,1
42,0.81736344,0.6964959,20.466877,0.6605799,0.87198704,1.7972923e-08,2017-03-29 05:45:00,2017-03-27,4.0021,0.9999999776482582,11.019999753683804,291.9,1
43,0.62406874,0.52769387,22.810534,0.7692424,0.90533715,1.762416e-08,2017-03-29 06:30:00,2017-03-27,3.3389,0.9999999776482582,10.889999756589532,291.9,1
44,0.5469565,0.44647613,23.956125,0.7998807,0.9096771,1.5495544e-08,2017-03-29 06:45:00,2017-03-27,3.0816,0.9999999776482582,10.889999756589532,291.9,1
